DATASET                                                                                ACTIVE           ROWS  DESCRIPTION
----------------------------------------------------------------------------------------------------------------------------
10-year-cycling-network-plan-on-street-2016                                            yes               n/a  On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten...
10-year-cycling-network-plan-trails-2016                                               yes               n/a  On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten...
2013-street-needs-assessment-results                                                   yes               n/a  The Street Needs Assessment survey was conducted by City staff, community partner agencies and volunteers on April 17th, 2013. Just under two thousand indivi...
2018-street-needs-assessment-results                                                   yes               n/a  The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto on April 26, 2018. The results provide a...
2021-street-needs-assessment-results                                                   yes               n/a  The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto conducted in April, 2021 led by the City...
2022-2024-cycling-program                                                              yes               n/a  Toronto's Cycling Network Plan consists of three components: a Long-Term Cycling Network Vision, the Major City-Wide Cycling Routes, and a three-year rolling...
2024-city-budget-pre-budget-consultation                                               yes               n/a  Toronto residents were invited by the Mayor, Budget Committee Chair, and Members of Council to share their ideas about the City’s Budget and Toronto’s future...
311-contact-centre-performance-metrics                                                 yes               n/a  This dataset outlines a number of key performance metrics of the 311 Contact Centre. This information is used by 311 for planning purposes and will help prov...
311-open311-api-calls-for-service-requests                                             yes               n/a  **This dataset is retired as of December 5, 2021 & will not be updated.** The Open311 API system is open source data and contains service request information...
311-service-request-codes                                                              yes               n/a  This data set is **retired**. A new data set replaces at: [311 Service Requests - Customer Initiated](https://open.toronto.ca/dataset/311-service-requests-cu...
311-service-requests-customer-initiated                                                yes               n/a  The dataset contains information on customer initiated service requests received by 311 Toronto. This data was collected from multiple channels including tel...
3d-massing                                                                             yes               n/a  Exploring new ways to share information with each other is a cornerstone of improving the planning process. To do this it is essential to have city-wide data...
active-affordable-and-social-housing-units                                             yes                24  This dataset contains information on the active social housing stock and the active affordable housing stock that are under the City's administration. Social...
address-points-municipal-toronto-one-address-repository                                yes           525,435  The One Address Repository data set provides a point representation for over 500,000 addresses within the City of Toronto. Each address point is described wi...
agency-survey-results-on-covid-19-recovery-and-rebuild                                 yes               n/a  An online survey of the City’s partner organizations was conducted from June 22 to July 31, 2020 by City staff in Social Development Finance and Administrati...
air-conditioned-and-cool-spaces-heat-relief-network                                    yes               480  The City of Toronto coordinates a Heat Relief Network throughout the summer season from May 15 – September 30, which includes air conditioned and cool spaces...
air-conditioned-public-places-cooling-centres                                          yes               177  **This dataset has been retired and replaced with [Air Conditioned and Cool Spaces (Heat Relief Network)](https://open.toronto.ca/dataset/air-conditioned-and...
ambulance-station-locations                                                            yes                46  This geographical file contains the locations of ambulance stations within the City of Toronto. This dataset also contains the district offices. This informa...
annual-energy-consumption                                                              yes               n/a  Energy consumption and GHG emissions data for City owned and operated buildings as per requirements under [Ontario Regulation 25/23](https://www.ontario.ca/l...
annual-summary-of-reportable-communicable-diseases                                     yes               118  **This dataset has not been update since 2019 due to COVID-19, and will be resumed in 2023.** The [Health Protection and Promotion Act (HPPA)](https://www.on...
apartment-building-evaluation                                                          yes            17,101  RentSafeTO: Apartment Building Standards is a bylaw enforcement program established in 2017 to ensure that owners and operators of apartment buildings with t...
apartment-building-registration                                                        yes             3,605  The Apartment Building Standard (ABS) program is based on a new bylaw Chapter 354, which defines formal criteria to identify all rental apartment buildings i...
archaeological-potential-interim                                                       yes             7,481  Attributes are described in a readme file as part of each dataset. The City's street centreline file should be used to over lay with this dataset. Also, plea...
archives-name-authorities-list-of-authorized-names                                     yes               n/a  ** This dataset has been retired ** Based on the eac-cpf.xsd schema definition This is a subset from the Archives Authority Database and will continue to add...
area-speed-limit-reductions                                                            yes                25  The City of Toronto is currently reducing speed limits to curb speeding on roads. This is part of a holistic Speed Management Strategy as outlined in the Cit...
automated-speed-enforcement-ase-charges                                                yes               n/a  This dataset contains the number of Automated Speed Enforcement (ASE) tickets issued each month in the City of Toronto from July 6, 2020 to Present. There ar...
automated-speed-enforcement-locations                                                  yes               198  In November of 2025, the Ontario Government banned the use of speed cameras, and so this dataset is no longer being updated. Automated Speed Enforcement (ASE...
automatic-external-defibrillators-aed-locations                                        yes               n/a  Locations of automatic external defibrillators (AED) available to the public when needed. The purpose of this dataset is to track the installation and locati...
basement-flooding-by-ward                                                              yes               n/a  Service requests by ward due to basement flooding and number of approved applications by ward for the City's Basement Flooding Subsidy Protection Program sin...
basement-flooding-study-areas                                                          yes                67  This dataset provides pertinent information on the delineation of areas that are serviced by the same local sewer infrastructure (i.e. sanitary subsewersheds...
bicycle-and-micromobility-cordon-count                                                 yes               198  The data in this repository were collected as part of the 2022 Toronto Micromobility Cordon and Classification Count. The dataset contains information on how...
bicycle-cordon-count-2010-2013-2014                                                    yes               200  The data in this repository was collected as part of the City of Toronto Bicycle Cordon Count studies carried out in 2010, 2013 and 2014. The dataset contain...
bicycle-count-and-locations                                                            yes               n/a  Data includes when and where cyclists are riding, and other characteristics about cyclists such as helmet use, gender, side-walk riding, and whether the cycl...
bicycle-counts                                                                         yes               n/a  Two separate data sets are available: 1\. Ongoing intersections counts: these are cyclist counts that have been gathered at intersections in order to measure...
bicycle-parking-bike-stations-indoor                                                   yes                 5  This dataset contains the locations of all the indoor bike station facilities located in the City of Toronto. This data set may not be representative of the ...
bicycle-parking-high-capacity-outdoor                                                  yes               142  This dataset identifies the location of all outdoor high capacity bicycle parking installed by the City of Toronto. This includes bicycle parking such as bik...
bicycle-parking-racks                                                                  yes               241  Shapefile of permanent and seasonal multiple-capacity bicycle parking racks installed and managed by the Cycling Infrastructure and Programs Unit
bicycle-post-and-ring-locations                                                        yes               n/a  This dataset is retired. The following datasets now replace it: [Street Furniture - Bicycle Parking](https://open.toronto.ca/dataset/street-furniture-bicycle...
bicycle-shops                                                                          yes                98  __This datast is no longer being maintained. It has been retired as of April 15, 2019__ This dataset contains the locations of bicycle shops located in the C...
bicycle-thefts                                                                         yes            39,969  This dataset contains occurrences related to bicycle thefts since 2014. These occurrences are related to a variety of offences where the theft of a bicycle w...
bike-share-toronto                                                                     yes               n/a  The Toronto Parking Authority manages the Bike Share Toronto program, a form of local mass transit and an enjoyable way to travel the city by bicycle. The sy...
bike-share-toronto-ridership-data                                                      yes               n/a  This Bike Share Toronto ridership dataset contains anonymized trip data. It includes: <ul> <li>Trip ID</li> <li>Trip Duration</li> <li>Trip Start Station ID<...
bikeways                                                                               yes               n/a  The Toronto bikeways dataset illustrates the existing cycling network across the city, including both shared and dedicated bikeways. A summary of the network...
blacklegged-tick-surveillance                                                          yes               233  Toronto’s tick surveillance program monitors the number of blacklegged ticks, their locations and the number of them that carry the bacteria that causes Lyme...
bloor-street-bike-lanes-feedback-survey                                                yes               n/a  Results of the Bloor Street Bike Lanes Feedback Survey #2, which was online for public input from December 13, 2016 to May 4, 2017, and received 14,078 compl...
bodysafe                                                                               yes            12,464  Starting July 1, 2013, under the revised [Municipal Code Chapter 545, Licensing By-Law](http://www.toronto.ca/legdocs/municode/1184_545.pdf), all establishme...
bridge-structure                                                                       yes             1,829  Like all infrastructure, bridges and structures require ongoing maintenance. Regular inspections help the City ensure that its bridges and structures are wel...
